ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.825,7000,90,2.34E-18
0.825,15000,0,5.78E-17
0.825,4000,50,1.03E-18
0.825,200,80,1.39E-20
0.825,20000,50,5.26E-18
0.825,27500,60,7.23E-19
0.825,9000,0,1.25E-23
0.825,600,40,4.12E-24
0.825,2500,20,9.41E-21
0.825,5000,10,2.98E-21
0.825,35800,30,1.56E-19
0.825,3000,10,1.65E-20
0.825,600,0,0
0.825,9000,50,8.37E-18
0.825,30000,20,1.11E-18
0.825,27500,90,6.18E-19
0.825,200,70,1.82E-20
0.825,1500,0,2.14E-22
0.825,300,30,0
0.825,8000,10,1.34E-21
0.825,1800,40,8.21E-20
0.825,2000,50,2.53E-19
0.825,400,40,1.99E-26
0.825,15000,30,3.19E-17
0.825,1400,50,1.32E-19
0.825,25000,90,1.13E-18
0.825,1500,10,2.43E-22
0.825,6000,20,2.25E-21
0.825,1000,90,8.24E-20
0.825,800,50,4.92E-20
0.825,900,10,6.19E-26
0.825,1200,60,1.59E-19
0.825,7000,60,3.20E-18
0.825,1300,20,1.18E-22
0.825,17500,30,1.68E-17
0.825,35800,90,7.24E-20
0.825,400,10,0
0.825,2500,80,3.32E-19
0.825,12500,50,2.32E-17
0.825,500,50,2.14E-20
0.825,15000,60,1.62E-17
0.825,1800,10,2.08E-21
0.825,8000,40,6.79E-18
0.825,1900,50,2.34E-19
0.825,200,20,0
0.825,300,60,2.42E-20
0.825,3000,40,3.81E-19
0.825,30000,70,3.59E-19
0.825,10000,50,1.08E-17
0.825,17500,60,8.52E-18
0.825,7000,30,2.97E-18
0.825,1200,30,1.41E-22
0.825,1300,70,1.66E-19
0.825,6000,0,2.39E-23
0.825,900,40,1.17E-21
0.825,1100,80,1.00E-19
0.825,200,0,0
0.825,6000,70,1.83E-18
0.825,1100,0,6.59E-25
0.825,1500,40,3.71E-20
0.825,1000,70,1.18E-19
0.825,1100,30,7.38E-23
0.825,25000,70,1.21E-18
0.825,22500,40,3.54E-18
0.825,1600,40,4.93E-20
0.825,500,0,0
0.825,7000,80,2.41E-18
0.825,1200,80,1.13E-19
0.825,1600,0,7.17E-22
0.825,5000,0,3.45E-21
0.825,200,90,1.29E-20
0.825,4000,40,7.71E-19
0.825,600,50,2.93E-20
0.825,27500,70,6.61E-19
0.825,20000,40,6.59E-18
0.825,700,10,0
0.825,35800,20,2.43E-19
0.825,2500,30,6.47E-21
0.825,27500,0,2.88E-18
0.825,1300,90,1.19E-19
0.825,1600,10,7.95E-22
0.825,17500,80,7.38E-18
0.825,20000,0,1.70E-17
0.825,1700,50,1.85E-19
0.825,22500,10,8.57E-18
0.825,25000,20,3.66E-18
0.825,6000,90,1.61E-18
0.825,1000,20,1.06E-24
0.825,1100,60,1.39E-19
0.825,2500,0,1.35E-20
0.825,2500,60,5.34E-19
0.825,1200,0,1.91E-24
0.825,5000,50,1.87E-18
0.825,35800,70,7.63E-20
0.825,15000,80,1.40E-17
0.825,8000,0,7.02E-26
0.825,20000,10,1.56E-17
0.825,700,40,7.30E-23
0.825,30000,90,3.36E-19
0.825,27500,20,2.02E-18
0.825,300,80,1.81E-20
0.825,4000,10,1.23E-20
0.825,500,40,7.66E-26
0.825,15000,70,1.47E-17
0.825,12500,40,2.99E-17
0.825,2500,90,3.22E-19
0.825,35800,80,7.31E-20
0.825,2000,10,4.39E-21
0.825,1900,40,9.78E-20
0.825,8000,50,6.32E-18
0.825,900,0,0
0.825,300,70,2.34E-20
0.825,200,30,0
0.825,9000,10,1.66E-19
0.825,30000,60,3.93E-19
0.825,3000,50,5.46E-19
0.825,17500,70,7.77E-18
0.825,10000,40,1.51E-17
0.825,1300,60,1.88E-19
0.825,1200,20,3.69E-23
0.825,7000,20,1.52E-19
0.825,1100,90,9.47E-20
0.825,900,50,5.95E-20
0.825,800,10,0
0.825,1500,50,1.49E-19
0.825,6000,60,2.32E-18
0.825,1400,10,1.04E-23
0.825,30000,30,7.76E-19
0.825,27500,80,6.28E-19
0.825,9000,40,1.11E-17
0.825,300,20,0
0.825,200,60,1.76E-20
0.825,1900,10,3.16E-21
0.825,2000,40,1.15E-19
0.825,1800,50,2.09E-19
0.825,12500,10,5.09E-17
0.825,15000,20,4.31E-17
0.825,500,10,0
0.825,400,50,1.40E-20
0.825,6000,30,1.43E-18
0.825,25000,80,1.15E-18
0.825,1400,40,2.75E-20
0.825,7000,0,5.02E-24
0.825,800,40,3.74E-22
0.825,1000,80,8.79E-20
0.825,1300,30,2.37E-22
0.825,7000,70,2.63E-18
0.825,1200,70,1.51E-19
0.825,10000,10,2.28E-18
0.825,17500,20,2.30E-17
0.1,4000,80,3.27E-14
0.1,300,10,5.93E-21
0.1,200,50,5.24E-17
0.1,9000,70,7.36E-14
0.1,20000,80,2.32E-13
0.1,600,90,7.14E-16
0.1,3000,30,6.76E-14
0.1,12500,20,3.01E-13
0.1,15000,10,4.71E-13
0.1,500,20,3.99E-19
0.1,400,60,4.45E-16
0.1,1900,20,2.74E-14
0.1,2000,70,1.77E-14
0.1,1800,60,1.29E-14
0.1,8000,30,5.76E-14
0.1,900,30,4.59E-16
0.1,800,70,1.61E-15
0.1,1500,30,7.19E-15
0.1,17500,0,6.50E-13
0.1,22500,80,1.90E-13
0.1,1400,70,5.39E-15
0.1,1000,0,3.76E-17
0.1,10000,20,1.05E-13
0.1,1600,80,7.08E-15
0.1,17500,10,6.57E-13
0.1,300,0,0
0.1,7000,40,5.28E-14
0.1,1200,40,1.87E-15
0.1,2000,20,3.54E-14
0.1,1900,70,1.49E-14
0.1,1400,0,2.66E-15
0.1,8000,60,6.84E-14
0.1,1800,30,1.78E-14
0.1,500,70,7.04E-16
0.1,15000,40,3.89E-13
0.1,12500,70,1.67E-13
0.1,400,30,2.50E-18
0.1,700,0,6.76E-19
0.1,5000,90,2.59E-14
0.1,700,80,1.03E-15
0.1,9000,20,5.56E-14
0.1,30000,50,7.20E-14
0.1,10000,0,5.23E-14
0.1,3000,60,4.53E-14
0.1,300,40,9.19E-18
0.1,1300,50,3.61E-15
0.1,1200,10,6.54E-16
0.1,7000,10,1.22E-14
0.1,1700,90,8.46E-15
0.1,17500,40,4.26E-13
0.1,10000,70,9.69E-14
0.1,1500,60,6.68E-15
0.1,6000,50,4.36E-14
0.1,1400,20,4.49E-15
0.1,900,60,1.71E-15
0.1,800,20,4.09E-17
0.1,1600,20,1.03E-14
0.1,10000,80,8.98E-14
0.1,1700,60,1.04E-14
0.1,1000,10,6.22E-17
0.1,1100,50,2.07E-15
0.1,900,90,1.47E-15
0.1,22500,20,5.77E-13
0.1,25000,10,5.09E-13
0.1,35800,0,7.93E-14
0.1,1500,90,5.37E-15
0.1,2500,50,3.73E-14
0.1,35800,40,2.16E-14
0.1,5000,60,3.79E-14
0.1,500,80,5.88E-16
0.1,12500,80,1.57E-13
0.1,8000,90,4.86E-14
0.1,1900,80,1.32E-14
0.1,4000,20,7.24E-14
0.1,3000,90,3.66E-14
0.1,600,30,5.07E-17
0.1,700,70,1.28E-15
0.1,20000,20,6.70E-13
0.1,27500,10,3.45E-13
0.1,25000,40,2.24E-13
0.1,22500,70,2.01E-13
0.1,1400,80,4.49E-15
0.1,3000,0,1.58E-13
0.1,800,80,1.29E-15
0.1,1000,40,8.18E-16
0.1,1600,70,8.25E-15
0.1,1700,30,1.36E-14
0.1,1800,0,2.05E-14
0.1,600,60,8.39E-16
0.1,27500,40,1.45E-13
0.1,9000,80,6.77E-14
0.1,700,20,8.50E-18
0.1,20000,70,2.45E-13
0.1,4000,70,3.63E-14
0.1,1800,90,1.05E-14
0.1,2000,80,1.58E-14
0.1,5000,30,2.47E-14
0.1,35800,10,6.89E-14
0.1,400,90,3.87E-16
0.1,22500,0,7.38E-13
0.1,1800,20,2.04E-14
0.1,8000,70,5.49E-14
0.1,1900,60,1.58E-14
0.1,2000,30,2.84E-14
0.1,5000,80,2.68E-14
0.1,400,20,1.30E-19
0.1,12500,60,1.90E-13
0.1,500,60,6.12E-16
0.1,15000,50,3.01E-13
0.1,3000,70,4.09E-14
0.1,30000,40,8.98E-14
0.1,9000,30,9.70E-14
0.1,700,90,9.30E-16
0.1,200,10,0
0.1,300,50,9.03E-17
0.1,1300,40,2.70E-15
0.1,10000,60,1.14E-13
0.1,17500,50,3.29E-13
0.1,1700,80,8.77E-15
0.1,1400,30,4.96E-15
0.1,6000,40,3.63E-14
0.1,1500,70,6.70E-15
0.1,800,30,2.48E-16
0.1,900,70,1.98E-15
0.1,200,40,1.68E-18
0.1,800,0,2.35E-18
0.1,4000,90,3.18E-14
0.1,3000,20,1.01E-13
0.1,600,80,7.82E-16
0.1,20000,90,2.28E-13
0.1,9000,60,8.88E-14
0.1,30000,10,2.23E-13
0.1,400,70,5.04E-16
0.1,500,30,1.45E-17
0.1,12500,30,3.21E-13
0.1,8000,20,2.68E-14
0.1,1800,70,1.23E-14
0.1,2000,60,1.89E-14
0.1,1900,30,2.28E-14
0.1,800,60,1.36E-15
0.1,900,20,1.38E-16
0.1,1400,60,5.28E-15
0.1,22500,90,1.87E-13
0.1,1500,20,6.94E-15
0.1,6000,10,2.10E-14
0.1,1600,90,6.80E-15
0.1,10000,30,1.51E-13
0.1,1200,50,2.78E-15
0.1,25000,0,5.47E-13
0.1,7000,50,6.05E-14
0.1,1300,10,1.57E-15
0.1,1400,90,4.27E-15
0.1,22500,60,2.20E-13
0.1,25000,50,1.78E-13
0.1,1100,10,2.20E-16
0.1,1000,50,1.55E-15
0.1,800,90,1.18E-15
0.1,1700,20,1.47E-14
0.1,1600,60,8.40E-15
0.1,700,30,1.23E-16
0.1,20000,60,2.70E-13
0.1,9000,90,6.60E-14
0.1,27500,50,1.16E-13
0.1,1300,0,1.21E-15
0.1,600,70,9.70E-16
0.1,4000,60,4.24E-14
0.1,2000,90,1.54E-14
0.1,1800,80,1.08E-14
0.1,2500,10,9.72E-14
0.1,400,80,4.26E-16
0.1,5000,20,3.45E-14
0.1,1700,70,1.01E-14
0.1,10000,90,8.77E-14
0.1,1600,30,1.00E-14
0.1,900,80,1.59E-15
0.1,1700,0,1.39E-14
0.1,1100,40,1.22E-15
0.1,400,0,0
0.1,1500,80,5.63E-15
0.1,22500,30,4.38E-13
0.1,2000,0,3.80E-14
0.1,12500,90,1.54E-13
0.1,500,90,5.37E-16
0.1,5000,70,3.02E-14
0.1,35800,50,1.79E-14
0.1,2500,40,4.10E-14
0.1,1900,90,1.29E-14
0.1,8000,80,5.00E-14
0.1,4000,30,4.75E-14
0.1,700,60,1.08E-15
0.1,20000,30,5.38E-13
0.1,600,20,1.58E-18
0.1,3000,80,3.75E-14
0.1,1300,80,3.62E-15
0.1,4000,0,1.15E-13
0.1,1700,40,9.98E-15
0.1,17500,90,2.33E-13
0.1,6000,80,2.85E-14
0.1,1900,0,2.83E-14
0.1,25000,30,3.06E-13
0.1,12500,0,2.42E-13
0.1,1100,70,2.92E-15
0.1,1000,30,7.85E-16
0.1,15000,90,2.06E-13
0.1,35800,60,1.57E-14
0.1,5000,40,3.24E-14
0.1,2500,70,3.25E-14
0.1,30000,80,5.44E-14
0.1,27500,30,2.00E-13
0.1,700,50,6.19E-16
0.1,600,10,4.24E-19
0.1,300,90,2.74E-16
0.1,1100,20,7.63E-16
0.1,30000,0,2.44E-13
0.1,1000,60,2.14E-15
0.1,22500,50,2.56E-13
0.1,25000,60,1.54E-13
0.1,1700,10,1.47E-14
0.1,1600,50,7.91E-15
0.1,1200,90,2.77E-15
0.1,7000,90,3.55E-14
0.1,15000,0,4.54E-13
0.1,4000,50,4.16E-14
0.1,200,80,2.19E-16
0.1,20000,50,3.16E-13
0.1,27500,60,1.00E-13
0.1,9000,0,2.15E-14
0.1,600,40,1.12E-16
0.1,2500,20,7.77E-14
0.1,5000,10,4.86E-14
0.1,35800,30,2.95E-14
0.1,3000,10,1.34E-13
0.1,600,0,2.15E-19
0.1,9000,50,1.13E-13
0.1,30000,20,1.74E-13
0.1,27500,90,8.56E-14
0.1,200,70,2.73E-16
0.1,1500,0,5.12E-15
0.1,300,30,1.12E-19
0.1,8000,10,1.42E-14
0.1,1800,40,1.30E-14
0.1,2000,50,1.93E-14
0.1,400,40,2.56E-17
0.1,15000,30,4.61E-13
0.1,1400,50,4.69E-15
0.1,25000,90,1.31E-13
0.1,1500,10,5.85E-15
0.1,6000,20,1.62E-14
0.1,1000,90,1.80E-15
0.1,800,50,8.60E-16
0.1,900,10,1.63E-17
0.1,1200,60,3.36E-15
0.1,7000,60,5.23E-14
0.1,1300,20,2.72E-15
0.1,17500,30,5.41E-13
0.1,35800,90,1.37E-14
0.1,400,10,3.46E-20
0.1,2500,80,2.97E-14
0.1,12500,50,2.37E-13
0.1,500,50,2.71E-16
0.1,15000,60,2.48E-13
0.1,1800,10,2.13E-14
0.1,8000,40,8.07E-14
0.1,1900,50,1.60E-14
0.1,200,20,1.13E-20
0.1,300,60,3.30E-16
0.1,3000,40,5.21E-14
0.1,30000,70,5.72E-14
0.1,10000,50,1.47E-13
0.1,17500,60,2.77E-13
0.1,7000,30,3.19E-14
0.1,1200,30,2.07E-15
0.1,1300,70,4.38E-15
0.1,6000,0,2.33E-14
0.1,900,40,5.35E-16
0.1,1100,80,2.37E-15
0.1,200,0,0
0.1,6000,70,3.21E-14
0.1,1100,0,1.47E-16
0.1,1500,40,5.56E-15
0.1,1000,70,2.41E-15
0.1,1100,30,1.28E-15
0.1,25000,70,1.40E-13
0.1,22500,40,3.24E-13
0.1,1600,40,7.51E-15
0.1,500,0,6.23E-20
0.1,7000,80,3.66E-14
0.1,1200,80,2.94E-15
0.1,1600,0,8.73E-15
0.1,5000,0,5.53E-14
0.1,200,90,1.99E-16
0.1,4000,40,4.23E-14
0.1,600,50,4.21E-16
0.1,27500,70,9.16E-14
0.1,20000,40,4.04E-13
0.1,700,10,1.39E-18
0.1,35800,20,4.65E-14
0.1,2500,30,5.50E-14
0.1,27500,0,3.75E-13
0.1,1300,90,3.43E-15
0.1,1600,10,9.62E-15
0.1,17500,80,2.37E-13
0.1,20000,0,7.83E-13
0.1,1700,50,1.01E-14
0.1,22500,10,6.91E-13
0.1,25000,20,4.13E-13
0.1,6000,90,2.76E-14
0.1,1000,20,3.52E-16
0.1,1100,60,2.67E-15
0.1,2500,0,1.04E-13
0.1,2500,60,3.54E-14
0.1,1200,0,4.62E-16
0.1,5000,50,3.63E-14
0.1,35800,70,1.45E-14
0.1,15000,80,2.10E-13
0.1,8000,0,1.20E-14
0.1,20000,10,7.59E-13
0.1,700,40,2.07E-16
0.1,30000,90,5.35E-14
0.1,27500,20,2.75E-13
0.1,300,80,3.02E-16
0.1,4000,10,1.01E-13
0.1,500,40,5.72E-17
0.1,15000,70,2.23E-13
0.1,12500,40,2.93E-13
0.1,2500,90,2.90E-14
0.1,35800,80,1.38E-14
0.1,2000,10,3.94E-14
0.1,1900,40,1.66E-14
0.1,8000,50,8.45E-14
0.1,900,0,8.71E-18
0.1,300,70,3.63E-16
0.1,200,30,9.26E-21
0.1,9000,10,2.86E-14
0.1,30000,60,6.26E-14
0.1,3000,50,4.74E-14
0.1,17500,70,2.50E-13
0.1,10000,40,1.64E-13
0.1,1300,60,4.25E-15
0.1,1200,20,1.51E-15
0.1,7000,20,1.45E-14
0.1,1100,90,2.22E-15
0.1,900,50,1.16E-15
0.1,800,10,4.24E-18
0.1,1500,50,6.16E-15
0.1,6000,60,4.17E-14
0.1,1400,10,3.21E-15
0.1,30000,30,1.25E-13
0.1,27500,80,8.70E-14
0.1,9000,40,1.18E-13
0.1,300,20,4.26E-20
0.1,200,60,2.43E-16
0.1,1900,10,2.97E-14
0.1,2000,40,2.05E-14
0.1,1800,50,1.29E-14
0.1,12500,10,2.59E-13
0.1,15000,20,4.93E-13
0.1,500,10,1.25E-19
0.1,400,50,1.54E-16
0.1,6000,30,2.02E-14
0.1,25000,80,1.33E-13
0.1,1400,40,3.96E-15
0.1,7000,0,1.27E-14
0.1,800,40,3.36E-16
0.1,1000,80,1.94E-15
0.1,1300,30,3.22E-15
0.1,7000,70,4.07E-14
0.1,1200,70,3.57E-15
0.1,10000,10,6.53E-14
0.1,17500,20,6.30E-13
0.12,4000,80,2.21E-14
0.12,300,10,5.36E-21
0.12,200,50,3.95E-17
0.12,9000,70,5.33E-14
0.12,20000,80,1.67E-13
0.12,600,90,5.23E-16
0.12,3000,30,4.66E-14
0.12,12500,20,2.26E-13
0.12,15000,10,3.57E-13
0.12,500,20,2.92E-19
0.12,400,60,3.30E-16
0.12,1900,20,1.87E-14
0.12,2000,70,1.24E-14
0.12,1800,60,9.05E-15
0.12,8000,30,4.07E-14
0.12,900,30,3.12E-16
0.12,800,70,1.18E-15
0.12,1500,30,4.90E-15
0.12,17500,0,4.91E-13
0.12,22500,80,1.33E-13
0.12,1400,70,3.84E-15
0.12,1000,0,2.41E-17
0.12,10000,20,7.51E-14
0.12,1600,80,4.97E-15
0.12,17500,10,4.94E-13
0.12,300,0,0
0.12,7000,40,3.74E-14
0.12,1200,40,1.28E-15
0.12,2000,20,2.43E-14
0.12,1900,70,1.04E-14
0.12,1400,0,1.74E-15
0.12,8000,60,4.92E-14
0.12,1800,30,1.22E-14
0.12,500,70,5.18E-16
0.12,15000,40,2.88E-13
0.12,12500,70,1.24E-13
0.12,400,30,1.73E-18
0.12,700,0,5.14E-19
0.12,5000,90,1.73E-14
0.12,700,80,7.50E-16
0.12,9000,20,3.79E-14
0.12,30000,50,4.78E-14
0.12,10000,0,3.42E-14
0.12,3000,60,3.18E-14
0.12,300,40,6.34E-18
0.12,1300,50,2.55E-15
0.12,1200,10,4.24E-16
0.12,7000,10,5.56E-15
0.12,1700,90,5.93E-15
0.12,17500,40,3.12E-13
0.12,10000,70,7.08E-14
0.12,1500,60,4.74E-15
0.12,6000,50,3.05E-14
0.12,1400,20,3.03E-15
0.12,900,60,1.25E-15
0.12,800,20,2.73E-17
0.12,1600,20,7.01E-15
0.12,10000,80,6.56E-14
0.12,1700,60,7.33E-15
0.12,1000,10,3.97E-17
0.12,1100,50,1.48E-15
0.12,900,90,1.07E-15
0.12,22500,20,4.05E-13
0.12,25000,10,3.52E-13
0.12,35800,0,5.03E-14
0.12,1500,90,3.79E-15
0.12,2500,50,2.60E-14
0.12,35800,40,1.36E-14
0.12,5000,60,2.59E-14
0.12,500,80,4.32E-16
0.12,12500,80,1.17E-13
0.12,8000,90,3.49E-14
0.12,1900,80,9.24E-15
0.12,4000,20,4.70E-14
0.12,3000,90,2.56E-14
0.12,600,30,3.49E-17
0.12,700,70,9.36E-16
0.12,20000,20,4.84E-13
0.12,27500,10,2.35E-13
0.12,25000,40,1.54E-13
0.12,22500,70,1.40E-13
0.12,1400,80,3.19E-15
0.12,3000,0,1.11E-13
0.12,800,80,9.40E-16
0.12,1000,40,5.61E-16
0.12,1600,70,5.83E-15
0.12,1700,30,9.26E-15
0.12,1800,0,1.38E-14
0.12,600,60,6.19E-16
0.12,27500,40,9.81E-14
0.12,9000,80,4.90E-14
0.12,700,20,5.63E-18
0.12,20000,70,1.76E-13
0.12,4000,70,2.46E-14
0.12,1800,90,7.33E-15
0.12,2000,80,1.10E-14
0.12,5000,30,1.42E-14
0.12,35800,10,4.37E-14
0.12,400,90,2.85E-16
0.12,22500,0,5.22E-13
0.12,1800,20,1.39E-14
0.12,8000,70,3.94E-14
0.12,1900,60,1.11E-14
0.12,2000,30,1.96E-14
0.12,5000,80,1.79E-14
0.12,400,20,1.02E-19
0.12,12500,60,1.41E-13
0.12,500,60,4.52E-16
0.12,15000,50,2.23E-13
0.12,3000,70,2.86E-14
0.12,30000,40,5.96E-14
0.12,9000,30,7.01E-14
0.12,700,90,6.80E-16
0.12,200,10,0
0.12,300,50,6.77E-17
0.12,1300,40,1.85E-15
0.12,10000,60,8.31E-14
0.12,17500,50,2.41E-13
0.12,1700,80,6.14E-15
0.12,1400,30,3.37E-15
0.12,6000,40,2.47E-14
0.12,1500,70,4.75E-15
0.12,800,30,1.69E-16
0.12,900,70,1.45E-15
0.12,200,40,1.16E-18
0.12,800,0,1.66E-18
0.12,4000,90,2.15E-14
0.12,3000,20,6.98E-14
0.12,600,80,5.72E-16
0.12,20000,90,1.64E-13
0.12,9000,60,6.42E-14
0.12,30000,10,1.50E-13
0.12,400,70,3.72E-16
0.12,500,30,1.00E-17
0.12,12500,30,2.40E-13
0.12,8000,20,1.68E-14
0.12,1800,70,8.64E-15
0.12,2000,60,1.32E-14
0.12,1900,30,1.56E-14
0.12,800,60,9.94E-16
0.12,900,20,9.25E-17
0.12,1400,60,3.77E-15
0.12,22500,90,1.31E-13
0.12,1500,20,4.70E-15
0.12,6000,10,1.00E-14
0.12,1600,90,4.77E-15
0.12,10000,30,1.11E-13
0.12,1200,50,1.98E-15
0.12,25000,0,3.79E-13
0.12,7000,50,4.35E-14
0.12,1300,10,1.03E-15
0.12,1400,90,3.03E-15
0.12,22500,60,1.54E-13
0.12,25000,50,1.22E-13
0.12,1100,10,1.42E-16
0.12,1000,50,1.11E-15
0.12,800,90,8.60E-16
0.12,1700,20,9.99E-15
0.12,1600,60,5.93E-15
0.12,700,30,8.44E-17
0.12,20000,60,1.93E-13
0.12,9000,90,4.77E-14
0.12,27500,50,7.82E-14
0.12,1300,0,7.81E-16
0.12,600,70,7.12E-16
0.12,4000,60,2.90E-14
0.12,2000,90,1.07E-14
0.12,1800,80,7.57E-15
0.12,2500,10,6.75E-14
0.12,400,80,3.13E-16
0.12,5000,20,1.95E-14
0.12,1700,70,7.09E-15
0.12,10000,90,6.41E-14
0.12,1600,30,6.85E-15
0.12,900,80,1.16E-15
0.12,1700,0,9.27E-15
0.12,1100,40,8.34E-16
0.12,400,0,0
0.12,1500,80,3.97E-15
0.12,22500,30,3.07E-13
0.12,2000,0,2.58E-14
0.12,12500,90,1.14E-13
0.12,500,90,3.94E-16
0.12,5000,70,2.03E-14
0.12,35800,50,1.13E-14
0.12,2500,40,2.84E-14
0.12,1900,90,8.98E-15
0.12,8000,80,3.59E-14
0.12,4000,30,3.06E-14
0.12,700,60,7.92E-16
0.12,20000,30,3.86E-13
0.12,600,20,1.07E-18
0.12,3000,80,2.62E-14
0.12,1300,80,2.58E-15
0.12,4000,0,7.57E-14
0.12,1700,40,6.82E-15
0.12,17500,90,1.71E-13
0.12,6000,80,1.97E-14
0.12,1900,0,1.91E-14
0.12,25000,30,2.11E-13
0.12,12500,0,1.81E-13
0.12,1100,70,2.11E-15
0.12,1000,30,5.33E-16
0.12,15000,90,1.53E-13
0.12,35800,60,9.91E-15
0.12,5000,40,2.11E-14
0.12,2500,70,2.28E-14
0.12,30000,80,3.61E-14
0.12,27500,30,1.35E-13
0.12,700,50,4.53E-16
0.12,600,10,3.22E-19
0.12,300,90,2.02E-16
0.12,1100,20,5.13E-16
0.12,30000,0,1.64E-13
0.12,1000,60,1.56E-15
0.12,22500,50,1.79E-13
0.12,25000,60,1.06E-13
0.12,1700,10,9.89E-15
0.12,1600,50,5.52E-15
0.12,1200,90,1.98E-15
0.12,7000,90,2.52E-14
0.12,15000,0,3.44E-13
0.12,4000,50,2.81E-14
0.12,200,80,1.62E-16
0.12,20000,50,2.26E-13
0.12,27500,60,6.79E-14
0.12,9000,0,1.14E-14
0.12,600,40,7.66E-17
0.12,2500,20,5.39E-14
0.12,5000,10,2.79E-14
0.12,35800,30,1.86E-14
0.12,3000,10,9.34E-14
0.12,600,0,1.76E-19
0.12,9000,50,8.26E-14
0.12,30000,20,1.16E-13
0.12,27500,90,5.79E-14
0.12,200,70,2.02E-16
0.12,1500,0,3.38E-15
0.12,300,30,7.80E-20
0.12,8000,10,6.91E-15
0.12,1800,40,8.93E-15
0.12,2000,50,1.34E-14
0.12,400,40,1.76E-17
0.12,15000,30,3.45E-13
0.12,1400,50,3.30E-15
0.12,25000,90,9.00E-14
0.12,1500,10,3.90E-15
0.12,6000,20,7.77E-15
0.12,1000,90,1.30E-15
0.12,800,50,6.26E-16
0.12,900,10,1.05E-17
0.12,1200,60,2.42E-15
0.12,7000,60,3.72E-14
0.12,1300,20,1.84E-15
0.12,17500,30,3.99E-13
0.12,35800,90,8.66E-15
0.12,400,10,2.96E-20
0.12,2500,80,2.08E-14
0.12,12500,50,1.76E-13
0.12,500,50,2.00E-16
0.12,15000,60,1.84E-13
0.12,1800,10,1.44E-14
0.12,8000,40,5.82E-14
0.12,1900,50,1.11E-14
0.12,200,20,9.93E-21
0.12,300,60,2.45E-16
0.12,3000,40,3.61E-14
0.12,30000,70,3.80E-14
0.12,10000,50,1.07E-13
0.12,17500,60,2.03E-13
0.12,7000,30,2.15E-14
0.12,1200,30,1.40E-15
0.12,1300,70,3.13E-15
0.12,6000,0,1.10E-14
0.12,900,40,3.67E-16
0.12,1100,80,1.71E-15
0.12,200,0,0
0.12,6000,70,2.22E-14
0.12,1100,0,9.36E-17
0.12,1500,40,3.79E-15
0.12,1000,70,1.75E-15
0.12,1100,30,8.71E-16
0.12,25000,70,9.64E-14
0.12,22500,40,2.26E-13
0.12,1600,40,5.13E-15
0.12,500,0,5.46E-20
0.12,7000,80,2.60E-14
0.12,1200,80,2.10E-15
0.12,1600,0,5.80E-15
0.12,5000,0,3.18E-14
0.12,200,90,1.47E-16
0.12,4000,40,2.81E-14
0.12,600,50,3.10E-16
0.12,27500,70,6.20E-14
0.12,20000,40,2.89E-13
0.12,700,10,9.94E-19
0.12,35800,20,2.93E-14
0.12,2500,30,3.81E-14
0.12,27500,0,2.56E-13
0.12,1300,90,2.44E-15
0.12,1600,10,6.46E-15
0.12,17500,80,1.74E-13
0.12,20000,0,5.74E-13
0.12,1700,50,7.05E-15
0.12,22500,10,4.88E-13
0.12,25000,20,2.85E-13
0.12,6000,90,1.90E-14
0.12,1000,20,2.36E-16
0.12,1100,60,1.93E-15
0.12,2500,0,7.23E-14
0.12,2500,60,2.49E-14
0.12,1200,0,2.97E-16
0.12,5000,50,2.44E-14
0.12,35800,70,9.12E-15
0.12,15000,80,1.56E-13
0.12,8000,0,5.43E-15
0.12,20000,10,5.54E-13
0.12,700,40,1.42E-16
0.12,30000,90,3.55E-14
0.12,27500,20,1.87E-13
0.12,300,80,2.23E-16
0.12,4000,10,6.62E-14
0.12,500,40,3.94E-17
0.12,15000,70,1.65E-13
0.12,12500,40,2.18E-13
0.12,2500,90,2.03E-14
0.12,35800,80,8.74E-15
0.12,2000,10,2.69E-14
0.12,1900,40,1.14E-14
0.12,8000,50,6.12E-14
0.12,900,0,5.78E-18
0.12,300,70,2.69E-16
0.12,200,30,7.23E-21
0.12,9000,10,1.68E-14
0.12,30000,60,4.16E-14
0.12,3000,50,3.30E-14
0.12,17500,70,1.84E-13
0.12,10000,40,1.20E-13
0.12,1300,60,3.05E-15
0.12,1200,20,1.02E-15
0.12,7000,20,7.65E-15
0.12,1100,90,1.60E-15
0.12,900,50,8.38E-16
0.12,800,10,2.84E-18
0.12,1500,50,4.31E-15
0.12,6000,60,2.92E-14
0.12,1400,10,2.13E-15
0.12,30000,30,8.27E-14
0.12,27500,80,5.89E-14
0.12,9000,40,8.63E-14
0.12,300,20,3.57E-20
0.12,200,60,1.81E-16
0.12,1900,10,2.02E-14
0.12,2000,40,1.41E-14
0.12,1800,50,8.94E-15
0.12,12500,10,1.94E-13
0.12,15000,20,3.72E-13
0.12,500,10,1.02E-19
0.12,400,50,1.15E-16
0.12,6000,30,1.21E-14
0.12,25000,80,9.15E-14
0.12,1400,40,2.70E-15
0.12,7000,0,5.73E-15
0.12,800,40,2.30E-16
0.12,1000,80,1.40E-15
0.12,1300,30,2.19E-15
0.12,7000,70,2.89E-14
0.12,1200,70,2.57E-15
0.12,10000,10,4.44E-14
0.12,17500,20,4.68E-13
